# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380469528701e-10       4.200720236554e-15       3.556638126564e-13       0.000000000000e+00       8.349076804856e-09       4.518380797431e-10      -1.851952930000e-12 
    3       1.306525562276e-10       5.391388225994e-15       3.986752212005e-13       0.000000000000e+00       5.114259423830e-09       3.198603179134e-10      -1.404815606356e-12 
    4       1.236558985706e-10       4.675502223771e-15       3.726810230733e-13       0.000000000000e+00       3.542284350906e-09       2.419123524377e-10      -9.215250744623e-13 
    5       1.184060220523e-10       3.127890268517e-15       3.173970640478e-13       0.000000000000e+00       2.636175453291e-09       1.908582300052e-10      -5.141878189985e-13 
    6       1.147937438465e-10       1.752513850183e-15       2.556756448958e-13       0.000000000000e+00       2.054069068576e-09       1.551235386506e-10      -2.134042073624e-13 
    7       1.124783291191e-10       9.461977029442e-16       2.007735000537e-13       0.000000000000e+00       1.653276086149e-09       1.289909302573e-10      -2.088250081597e-14 
    8       1.111175585630e-10       6.082115224494e-16       1.584989032898e-13       0.000000000000e+00       1.363569471054e-09       1.092138953592e-10       7.807156977134e-14 
    9       1.104718772522e-10       4.872831837147e-16       1.301255906242e-13       0.000000000000e+00       1.146331673682e-09       9.380537124213e-11       1.065626741665e-13 
   10       1.103485352997e-10       4.154038488596e-16       1.143279803189e-13       0.000000000000e+00       9.785599947705e-10       8.154787270226e-11       9.030430938617e-14 
   11       1.106371481893e-10       3.487756364265e-16       1.084749354789e-13       0.000000000000e+00       8.379378650444e-10       7.239654264125e-11       5.333436629854e-14 
   12       1.112696672262e-10       3.027585315103e-16       1.095508263629e-13       0.000000000000e+00       7.322693234311e-10       6.412660684293e-11       1.348003807037e-14 
   13       1.121370735811e-10       2.891052257004e-16       1.147924182448e-13       0.000000000000e+00       6.455095380341e-10       5.730451643420e-11      -1.730953103336e-14 
   14       1.131608994254e-10       3.002897074933e-16       1.221531887523e-13       0.000000000000e+00       5.733164130172e-10       5.133381923292e-11      -3.439806671771e-14 
   15       1.143624694446e-10       3.242545471062e-16       1.303943304038e-13       0.000000000000e+00       5.125451301535e-10       4.630646509789e-11      -3.786943941696e-14 
   16       1.157442980895e-10       3.580395127551e-16       1.387472359929e-13       0.000000000000e+00       4.608689779332e-10       4.203895503814e-11      -3.157104886328e-14 
   17       1.171920923782e-10       4.070786437353e-16       1.470545160398e-13       0.000000000000e+00       4.165338672215e-10       3.835246763654e-11      -2.064828343620e-14 
   18       1.187380988295e-10       4.769479273962e-16       1.555743182763e-13       0.000000000000e+00       3.780533036769e-10       3.505532483170e-11      -1.008908290700e-14 
   19       1.203971846007e-10       5.681244285685e-16       1.644916484281e-13       0.000000000000e+00       3.448054989131e-10       3.213846172314e-11      -2.543167942091e-15 
   20       1.221076507766e-10       6.787375760072e-16       1.739168609403e-13       0.000000000000e+00       3.155228814002e-10       2.958717151052e-11       2.463874356538e-16 
   21       1.238832052736e-10       8.081011203937e-16       1.838466993910e-13       0.000000000000e+00       2.897446268210e-10       2.736198683017e-11      -1.206780176632e-15 
   22       1.257289386771e-10       9.556218609511e-16       1.941583202693e-13       0.000000000000e+00       2.668498068584e-10       2.537534978189e-11      -5.222049002237e-15 
   23       1.276358288944e-10       1.121508621868e-15       2.045079808305e-13       0.000000000000e+00       2.465318325802e-10       2.358431452960e-11      -1.010555532365e-14 
   24       1.295715309205e-10       1.306038287921e-15       2.144364012833e-13       0.000000000000e+00       2.283267377575e-10       2.194210115344e-11      -1.403362881150e-14 
   25       1.315455082424e-10       1.509319602480e-15       2.236398087496e-13       0.000000000000e+00       2.119875069947e-10       2.044914239190e-11      -1.614272509364e-14 
   26       1.335661542487e-10       1.731564944228e-15       2.318717179882e-13       0.000000000000e+00       1.971942954356e-10       1.910670291880e-11      -1.601783833786e-14 
   27       1.356416365920e-10       1.974368885187e-15       2.390521201998e-13       0.000000000000e+00       1.838703631222e-10       1.790737932095e-11      -1.412261594687e-14 
   28       1.377621115066e-10       2.239994089502e-15       2.451726157801e-13       0.000000000000e+00       1.718541972106e-10       1.682405700464e-11      -1.141777245759e-14 
   29       1.399037895492e-10       2.530750142630e-15       2.502592218767e-13       0.000000000000e+00       1.608539576612e-10       1.581818865208e-11      -8.986129483782e-15 
   30       1.420740130170e-10       2.847827767600e-15       2.543796823913e-13       0.000000000000e+00       1.508089623291e-10       1.488894400443e-11      -7.240875338939e-15 
   31       1.442804721395e-10       3.191997130511e-15       2.576444081727e-13       0.000000000000e+00       1.416446077429e-10       1.404126800167e-11      -6.416156512447e-15 
   32       1.465215172704e-10       3.563954717011e-15       2.601517962046e-13       0.000000000000e+00       1.332158554295e-10       1.327276846177e-11      -6.657516833197e-15 
   33       1.487985256375e-10       3.964545649826e-15       2.617919197301e-13       0.000000000000e+00       1.254767802440e-10       1.257487649393e-11      -7.630651882243e-15 
   34       1.511057021228e-10       4.394609952035e-15       2.623682207989e-13       0.000000000000e+00       1.183588343934e-10       1.193062525924e-11      -8.754368416842e-15 
   35       1.534315479185e-10       4.854958637705e-15       2.616805396049e-13       0.000000000000e+00       1.117560617384e-10       1.131999220534e-11      -9.440845133519e-15 
   36       1.557795642911e-10       5.346511583739e-15       2.596460953120e-13       0.000000000000e+00       1.056513221705e-10       1.074241201376e-11      -9.614805553033e-15 
   37       1.581531530413e-10       5.870201512208e-15       2.562189480877e-13       0.000000000000e+00       1.000254827416e-10       1.020127729699e-11      -9.370060963397e-15 
