# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.377536180431e-10       4.275181210982e-15       3.648734836531e-13       0.000000000000e+00       8.308891497371e-09       4.641433676685e-10      -1.853819411090e-12 
    3       1.284429347171e-10       5.432825731968e-15       4.113878969079e-13       0.000000000000e+00       5.100891590001e-09       3.288536017181e-10      -1.381255703939e-12 
    4       1.198419616542e-10       4.652093992105e-15       3.842483833556e-13       0.000000000000e+00       3.544941303261e-09       2.490305002682e-10      -8.912124224313e-13 
    5       1.131945009009e-10       3.071234334821e-15       3.259350269948e-13       0.000000000000e+00       2.647168545985e-09       1.967656966824e-10      -4.864928232569e-13 
    6       1.082846557016e-10       1.703119604252e-15       2.607804459524e-13       0.000000000000e+00       2.069154648617e-09       1.601110325842e-10      -1.919451468287e-13 
    7       1.047070387084e-10       9.204427562819e-16       2.027755979624e-13       0.000000000000e+00       1.670479315556e-09       1.331947683530e-10      -6.658909556225e-15 
    8       1.021619826806e-10       5.992725747083e-16       1.579902911445e-13       0.000000000000e+00       1.381647007111e-09       1.128220887320e-10       8.529564969889e-14 
    9       1.003828602415e-10       4.826327814282e-16       1.277301926228e-13       0.000000000000e+00       1.164357162357e-09       9.703783638369e-11       1.078702051742e-13 
   10       9.921250406701e-11       4.094922321006e-16       1.105222184545e-13       0.000000000000e+00       9.960693751408e-10       8.449082286623e-11       8.740849881927e-14 
   11       9.846242189910e-11       3.433354370951e-16       1.035089478277e-13       0.000000000000e+00       8.544338949101e-10       7.484884512476e-11       4.829098822791e-14 
   12       9.805951153897e-11       3.007177749830e-16       1.035815115427e-13       0.000000000000e+00       7.481991644503e-10       6.627466702548e-11       8.235952541873e-15 
   13       9.798238647371e-11       2.905791703648e-16       1.080046682532e-13       0.000000000000e+00       6.608369059341e-10       5.908950206588e-11      -2.152218219736e-14 
   14       9.817948394814e-11       3.033224301211e-16       1.145919937999e-13       0.000000000000e+00       5.880312460350e-10       5.315714141184e-11      -3.647988428485e-14 
   15       9.855166885646e-11       3.276690587194e-16       1.219243873470e-13       0.000000000000e+00       5.266527433094e-10       4.802284056564e-11      -3.792158762237e-14 
   16       9.909839548632e-11       3.626089495472e-16       1.294213771304e-13       0.000000000000e+00       4.743843034471e-10       4.346222529851e-11      -3.024750348362e-14 
   17       9.985114654336e-11       4.142592177125e-16       1.369208743023e-13       0.000000000000e+00       4.294772839760e-10       3.951962999775e-11      -1.867619203686e-14 
   18       1.007388621943e-10       4.876081932096e-16       1.445398120479e-13       0.000000000000e+00       3.904467615765e-10       3.611990971913e-11      -8.159530093491e-15 
   19       1.017630760260e-10       5.826061636068e-16       1.524759399176e-13       0.000000000000e+00       3.566770145788e-10       3.318164413475e-11      -1.221266564221e-15 
   20       1.029051021330e-10       6.969586212484e-16       1.608962957437e-13       0.000000000000e+00       3.268955836516e-10       3.055937929908e-11       6.266338798587e-16 
   21       1.041687187888e-10       8.301279520225e-16       1.697244063070e-13       0.000000000000e+00       3.006440249015e-10       2.822054277338e-11      -1.820719408453e-15 
   22       1.055361049458e-10       9.818511485505e-16       1.787206664501e-13       0.000000000000e+00       2.772994522612e-10       2.613316959622e-11      -6.553643000770e-15 
   23       1.070133454179e-10       1.152287857905e-15       1.875103437985e-13       0.000000000000e+00       2.565562919486e-10       2.428020937990e-11      -1.167128269194e-14 
   24       1.085933940138e-10       1.341590937262e-15       1.956354619472e-13       0.000000000000e+00       2.379478340031e-10       2.262331518163e-11      -1.524380325091e-14 
   25       1.102748534417e-10       1.550087708407e-15       2.027935113396e-13       0.000000000000e+00       2.212265801732e-10       2.112752326213e-11      -1.664993382579e-14 
   26       1.120454404747e-10       1.778320809654e-15       2.087459522875e-13       0.000000000000e+00       2.060700315197e-10       1.974803296661e-11      -1.584076667922e-14 
   27       1.139123645049e-10       2.028010809466e-15       2.134305197374e-13       0.000000000000e+00       1.924027900527e-10       1.848432009418e-11      -1.341401459325e-14 
   28       1.158734164591e-10       2.301481811047e-15       2.168678170546e-13       0.000000000000e+00       1.800624699485e-10       1.733801823206e-11      -1.040204125739e-14 
   29       1.179128807965e-10       2.601102893101e-15       2.191143732074e-13       0.000000000000e+00       1.687533713861e-10       1.629834178836e-11      -7.946169721365e-15 
   30       1.200338527411e-10       2.928135494079e-15       2.202319078477e-13       0.000000000000e+00       1.584152747736e-10       1.535597794173e-11      -6.424160953717e-15 
   31       1.222353485946e-10       3.283422857221e-15       2.203112054060e-13       0.000000000000e+00       1.489732576142e-10       1.449198697072e-11      -5.986411951431e-15 
   32       1.245080735341e-10       3.667729554687e-15       2.194322225864e-13       0.000000000000e+00       1.402801155684e-10       1.368160672220e-11      -6.673304413663e-15 
   33       1.268545022352e-10       4.081951312678e-15       2.174868683996e-13       0.000000000000e+00       1.322899211411e-10       1.292520845708e-11      -8.055248970160e-15 
   34       1.292741148424e-10       4.526967968027e-15       2.142888098122e-13       0.000000000000e+00       1.249333351817e-10       1.222748240249e-11      -9.442842267346e-15 
   35       1.317612712541e-10       5.003634841281e-15       2.096484312150e-13       0.000000000000e+00       1.181025215269e-10       1.158914356565e-11      -1.015210118732e-14 
   36       1.343195714718e-10       5.512965016932e-15       2.034821733803e-13       0.000000000000e+00       1.117806790986e-10       1.100775715849e-11      -1.014338594023e-14 
   37       1.369511266961e-10       6.056004258345e-15       1.957396983615e-13       0.000000000000e+00       1.059488120236e-10       1.047641669130e-11      -9.600667506568e-15 
   38       1.396519165345e-10       6.633780482885e-15       1.863752458944e-13       0.000000000000e+00       1.005465370107e-10       9.982942962474e-12      -8.767844711389e-15 
   39       1.424147716152e-10       7.247255956932e-15       1.753565188557e-13       0.000000000000e+00       9.549407671785e-11       9.513737440390e-12      -7.906058204583e-15 
   40       1.452411440531e-10       7.897168544345e-15       1.626943803568e-13       0.000000000000e+00       9.077656774115e-11       9.068033023672e-12      -7.137544014275e-15 
   41       1.481322498342e-10       8.584133384245e-15       1.484236988461e-13       0.000000000000e+00       8.638209497438e-11       8.647738614668e-12      -6.555817347086e-15 
   42       1.510853997721e-10       9.308679063129e-15       1.325964809323e-13       0.000000000000e+00       8.227651811213e-11       8.253422570639e-12      -6.268866455463e-15 
   43       1.540959965206e-10       1.007132266401e-14       1.152571648839e-13       0.000000000000e+00       7.841623669268e-11       7.884589986396e-12      -6.363138354662e-15 
   44       1.571651770737e-10       1.087283544637e-14       9.635713743875e-14       0.000000000000e+00       7.479567510869e-11       7.540922751531e-12      -6.780276128863e-15 
   45       1.602939076062e-10       1.171405106314e-14       7.581509842006e-14       0.000000000000e+00       7.141144897857e-11       7.221209206057e-12      -7.403229094918e-15 
   46       1.634805853596e-10       1.259579219987e-14       5.353967013553e-14       0.000000000000e+00       6.824809998265e-11       6.922871883293e-12      -8.088163195719e-15 
   47       1.667208066436e-10       1.351887035702e-14       2.942868737806e-14       0.000000000000e+00       6.527715239826e-11       6.641864659579e-12      -8.662895064783e-15 
   48       1.700095170354e-10       1.448399547659e-14       3.390299940769e-15       0.000000000000e+00       6.246595033871e-11       6.373876051297e-12      -8.973607975653e-15 
   49       1.733487200412e-10       1.549147520573e-14      -2.458502900103e-14       0.000000000000e+00       5.980931663447e-11       6.118580188945e-12      -9.044225522498e-15 
   50       1.767415428125e-10       1.654143048516e-14      -5.447744566818e-14       0.000000000000e+00       5.730519722432e-11       5.876407432264e-12      -8.959272975764e-15 
   51       1.801899359303e-10       1.763387360422e-14      -8.625735324274e-14       0.000000000000e+00       5.494522610992e-11       5.647307526413e-12      -8.820393145751e-15 
   52       1.836945629476e-10       1.876870338343e-14      -1.198850089840e-13       0.000000000000e+00       5.271428090647e-11       5.430713391853e-12      -8.747243808679e-15 
   53       1.872552149854e-10       1.994582899286e-14      -1.553277848777e-13       0.000000000000e+00       5.059527678149e-11       5.225795131888e-12      -8.847199448755e-15 
   54       1.908724339463e-10       2.116558987601e-14      -1.926180877389e-13       0.000000000000e+00       4.858601857051e-11       5.032382088403e-12      -9.113244067280e-15 
   55       1.945461141867e-10       2.242843541013e-14      -2.318096306804e-13       0.000000000000e+00       4.668590745074e-11       4.850214777113e-12      -9.501386324164e-15 
   56       1.982749275459e-10       2.373480628501e-14      -2.729614033717e-13       0.000000000000e+00       4.489086211043e-11       4.678651923034e-12      -9.959155661353e-15 
   57       2.020562349031e-10       2.508513507898e-14      -3.161380097640e-13       0.000000000000e+00       4.319309393839e-11       4.516646418823e-12      -1.042519173376e-14 
   58       2.058859977345e-10       2.647984683498e-14      -3.614100058157e-13       0.000000000000e+00       4.158088221347e-11       4.362721283113e-12      -1.082883384018e-14 
   59       2.097601464475e-10       2.791921371285e-14      -4.088343314840e-13       0.000000000000e+00       4.004182480569e-11       4.215367489490e-12      -1.110653912757e-14 
   60       2.136792573252e-10       2.940287822183e-14      -4.583895330839e-13       0.000000000000e+00       3.857398241212e-11       4.074399942339e-12      -1.125652207712e-14 
   61       2.176448073282e-10       3.093022008975e-14      -5.100260677790e-13       0.000000000000e+00       3.717692962321e-11       3.939874468375e-12      -1.129610086177e-14 
   62       2.216577745518e-10       3.250048817034e-14      -5.636845564677e-13       0.000000000000e+00       3.584840215190e-11       3.811684091412e-12      -1.124614088113e-14 
   63       2.257185991661e-10       3.411279607276e-14      -6.192954467372e-13       0.000000000000e+00       3.458418983708e-11       3.689549291396e-12      -1.113121465930e-14 
   64       2.298271443552e-10       3.576611779101e-14      -6.767786758189e-13       0.000000000000e+00       3.337802964705e-11       3.573008263446e-12      -1.097976174269e-14 
   65       2.339830039379e-10       3.745943791043e-14      -7.360611494455e-13       0.000000000000e+00       3.222334932711e-11       3.461551530578e-12      -1.081849314207e-14 
   66       2.381865886876e-10       3.919224901797e-14      -7.971342379678e-13       0.000000000000e+00       3.111916787863e-11       3.355080797041e-12      -1.065386813552e-14 
   67       2.424382009318e-10       4.096415213333e-14      -8.600078903993e-13       0.000000000000e+00       3.006525712548e-11       3.253530146440e-12      -1.048696881403e-14 
   68       2.467376793566e-10       4.277471138147e-14      -9.246940512609e-13       0.000000000000e+00       2.906034713704e-11       3.156724666364e-12      -1.031890831094e-14 
   69       2.510843696440e-10       4.462345394590e-14      -9.912068218830e-13       0.000000000000e+00       2.810207099803e-11       3.064374745281e-12      -1.015082970806e-14 
   70       2.554770951080e-10       4.650987002199e-14      -1.059562621707e-12       0.000000000000e+00       2.718690957815e-11       2.976070369449e-12      -9.983904941660e-15 
   71       2.599141273322e-10       4.843341277023e-14      -1.129780349586e-12       0.000000000000e+00       2.631013630185e-11       2.891275419810e-12      -9.819333708554e-15 
   72       2.643937261941e-10       5.039343469226e-14      -1.201871261959e-12       0.000000000000e+00       2.546704230866e-11       2.809466128556e-12      -9.658273399933e-15 
   73       2.689159451976e-10       5.238898272384e-14      -1.275805999629e-12       0.000000000000e+00       2.465700692585e-11       2.730589890466e-12      -9.501615763655e-15 
   74       2.734811212234e-10       5.441896354245e-14      -1.351541493802e-12       0.000000000000e+00       2.388011235086e-11       2.654684624034e-12      -9.350165195761e-15 
   75       2.780893197608e-10       5.648220218685e-14      -1.429030616202e-12       0.000000000000e+00       2.313590693422e-11       2.581740044328e-12      -9.204701290959e-15 
   76       2.827403185433e-10       5.857744055887e-14      -1.508222105595e-12       0.000000000000e+00       2.242337918199e-11       2.511695251215e-12      -9.065976173969e-15 
   77       2.874335911861e-10       6.070333592513e-14      -1.589060494316e-12       0.000000000000e+00       2.174093175812e-11       2.444436317578e-12      -8.934711830861e-15 
   78       2.921682908217e-10       6.285845941882e-14      -1.671486034797e-12       0.000000000000e+00       2.108635548690e-11       2.379793877535e-12      -8.811597440400e-15 
   79       2.969432337371e-10       6.504129454145e-14      -1.755434626095e-12       0.000000000000e+00       2.045680335527e-11       2.317540714657e-12      -8.697286705384e-15 
   80       3.017572542268e-10       6.725029765810e-14      -1.840843564457e-12       0.000000000000e+00       1.984950318281e-11       2.257451725318e-12      -8.592251083693e-15 
   81       3.066103761227e-10       6.948409487834e-14      -1.927670106772e-12       0.000000000000e+00       1.926409536026e-11       2.199501107325e-12      -8.496315998694e-15 
   82       3.115028157999e-10       7.174131679184e-14      -2.015876011930e-12       0.000000000000e+00       1.870065553844e-11       2.143695173839e-12      -8.409038835524e-15 
   83       3.164346196879e-10       7.402053916698e-14      -2.105422036970e-12       0.000000000000e+00       1.815897989162e-11       2.090011782560e-12      -8.329840632606e-15 
